player_id,games_played,games_started,wins,losses,ot_losses,goals,assist,goals_against,gaa,pim,save_pctg,shots_against,shutouts
8480382,303,288,151,108,26,0,8,847,2.987478,6,0.903307,8739,15
8481020,52,44,25,20,3,0,1,139,2.973262,0,0.895252,1327,2
8475311,439,418,209,146,53,0,6,1055,2.539764,48,0.914847,12366,36
8479496,230,204,108,71,26,0,1,579,2.788366,30,0.903987,6020,7
8476341,190,174,74,81,14,0,2,511,3.039138,6,0.904361,5343,8
8476999,291,281,163,87,26,1,5,710,2.542435,12,0.91729,8560,12
8481519,95,85,49,33,9,0,3,251,2.831501,0,0.904325,2613,5
8475660,533,508,266,195,47,0,7,1349,2.660436,39,0.912487,15392,33
8478024,145,138,71,46,19,0,1,413,3.047418,4,0.901455,4191,7
8473575,621,593,289,232,71,0,8,1572,2.647246,24,0.915597,18625,41
8478009,253,248,125,89,36,1,5,634,2.577938,2,0.916534,7560,22
8475809,154,136,62,54,24,0,0,413,2.875576,2,0.906222,4404,8
8479193,190,166,84,61,23,0,3,485,2.790536,8,0.910204,5390,12
8479979,251,242,149,66,27,0,5,608,2.524345,8,0.91208,6904,12
8483575,4,4,2,2,0,0,0,10,2.531286,0,0.885057,87,1
8470594,1051,1017,575,339,95,0,22,2633,2.603963,86,0.911707,29821,76
8478007,244,229,94,100,35,0,5,726,3.197801,24,0.901573,7376,11
8479406,169,161,83,59,20,1,3,435,2.668658,0,0.912598,4977,11
8480193,65,61,19,34,6,0,2,202,3.437449,0,0.897928,1979,1
8477970,188,176,96,56,21,0,5,496,2.825168,2,0.902112,5067,10
8478406,252,237,103,103,28,0,2,701,2.957,6,0.905762,7428,14
8475883,517,503,308,135,53,0,16,1273,2.555744,26,0.915173,15007,28
8476883,540,530,331,163,35,0,22,1335,2.519532,42,0.917179,16107,40
8477992,80,70,32,26,12,0,0,239,3.288409,0,0.890064,2174,4
8481611,116,112,65,36,12,0,3,276,2.466223,16,0.904877,2891,10
8478905,29,25,6,14,5,0,0,85,3.289968,0,0.874446,677,0
8481035,110,104,51,39,12,0,0,301,2.982082,6,0.888229,2693,7
8477424,408,391,202,150,38,0,8,1045,2.679077,8,0.914251,12175,27
8479312,113,100,51,38,11,0,1,303,2.987885,4,0.902202,3088,4
8474682,86,73,27,36,12,0,3,239,3.076898,2,0.901767,2433,3
8479292,149,140,73,53,15,0,1,394,2.775172,2,0.905724,4158,9
8480313,146,137,87,38,17,0,4,369,2.61765,2,0.911574,4173,6
8482661,5,5,2,3,0,0,0,17,3.437622,2,0.876812,138,1
8473503,525,479,225,187,65,0,3,1388,2.888276,20,0.909724,15364,31
8480843,121,107,42,58,13,0,0,364,3.286861,8,0.902203,3722,2
8481544,29,25,11,11,3,0,1,91,3.550255,2,0.87915,753,0
8477831,77,69,44,16,8,0,2,202,2.843644,19,0.89839,1988,3
8482982,21,20,10,9,2,0,0,54,2.623658,0,0.924476,715,2
8477968,179,160,74,60,27,1,5,498,2.996071,10,0.903169,5143,9
8482447,14,13,8,4,2,0,0,28,2.245788,0,0.918605,344,3
8479361,78,75,48,27,2,0,0,209,2.74379,2,0.9103,2330,2
8482123,2,1,0,1,0,0,0,4,3.3637,0,0.846154,26,0
8482783,17,13,5,9,1,0,0,54,3.592346,0,0.866995,406,0
8477484,66,59,24,30,8,0,0,217,3.561106,0,0.882829,1852,1
8478039,140,132,49,68,15,0,2,431,3.339205,8,0.898061,4228,4
8481033,48,36,16,18,4,0,2,104,2.725384,2,0.902713,1069,1
8483182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8476434,506,494,204,217,63,0,7,1387,2.88923,72,0.910117,15420,24
8478848,1,1,0,1,0,0,0,3,3.085711,0,0.869565,23,0
8481529,2,1,0,1,0,0,0,4,2.619133,0,0.878788,33,0
8484293,2,0,0,0,0,0,0,1,2.861683,0,0.875,8,0
8481707,1,1,1,0,0,0,0,1,1.023599,0,0.965517,29,0
8480867,3,3,1,2,0,0,0,10,3.293082,0,0.915966,119,0
8482137,16,14,5,7,2,0,1,43,3.012962,0,0.899297,427,0
8483530,12,10,7,2,1,0,0,34,3.014701,0,0.902579,349,1
8477035,6,6,3,2,1,0,0,20,3.331325,0,0.891892,185,0
8482657,1,0,1,0,0,0,0,2,2.666664,0,0.857143,14,0
8477405,57,46,11,23,12,0,0,165,3.390275,0,0.890438,1506,0
8477967,242,236,126,89,20,0,5,659,2.802589,6,0.910181,7337,9
8481320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8482193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8483659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8475789,176,164,93,52,18,0,3,455,2.763342,2,0.909036,5002,10
8476433,26,17,8,8,1,0,0,63,3.080808,0,0.88986,572,0
8482445,6,6,2,3,1,0,0,25,4.975398,0,0.869792,192,0
8476899,274,266,147,87,24,0,5,725,2.798759,10,0.910206,8074,15
8482487,16,15,7,4,3,0,0,40,2.743535,0,0.909091,440,1
8482477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8475839,144,128,61,60,10,0,2,394,3.013132,6,0.905516,4170,2
8482411,5,5,2,2,1,0,0,20,3.936575,0,0.865772,149,0
8480819,2,1,0,1,0,0,0,5,3.939592,0,0.871795,39,0
8480263,3,2,1,1,0,0,0,6,2.810304,0,0.929412,85,0
8480022,3,2,0,2,0,0,0,11,5.249203,0,0.770833,48,0
8484620,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8482076,52,47,22,23,1,0,1,133,2.979353,0,0.897614,1299,1
8478433,30,26,4,18,4,0,0,102,3.656822,0,0.879717,848,0
8477990,2,1,0,1,0,0,0,6,5.10638,0,0.8,30,0
8476861,6,5,4,1,0,0,0,15,3.103268,0,0.90566,159,1
8483668,1,0,0,0,0,0,0,2,4.006678,0,0.666667,6,0
8484312,10,6,0,6,0,0,0,28,3.52805,0,0.88755,249,0
8480885,2,1,0,1,0,0,0,4,3.100108,0,0.862069,29,0
8480191,3,2,1,1,0,0,0,8,3.637282,0,0.866667,60,0
8484887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8484910,1,0,0,0,0,0,0,0,0.0,0,1.0,12,0
8482668,1,0,0,0,0,0,0,1,12.720845,0,0.5,2,0
8484268,2,1,1,1,0,0,0,3,2.151821,0,0.884615,26,0
8483532,1,1,0,1,0,0,0,5,4.999997,0,0.868421,38,0
